order,code,name,r,g,b
0,1,white,255,255,255
1,5,silver,207,207,207
2,7,prussian blue,38,39,106
3,10,cream brown,235,233,182
4,17,light blue,166,192,219
5,19,sky blue,49,106,149
6,27,fresh green,191,204,160
7,30,vermilion,236,118,78
8,58,dark brown,65,49,49
9,70,cornflower blue,149,157,196
10,79,salmon pink,239,212,221
11,85,pink,221,166,197
12,86,deep rose,229,172,204
13,107,dark fuchsia,205,72,153
14,126,pumpkin,237,146,65
15,202,lemon yellow,252,240,128
16,205,yellow,246,221,69
17,206, harvest gold,254,221,44
18,208,orange,229,175,25
19,209,tangerine,224,106,44
20,214,deep gold,214,169,66
21,307,linen,244,234,222
22,323,light brown,147,136,107
23,328,brass,199,165,75
24,330,russet brown,190,168,83
25,333,amber red,116,52,66
26,337,reddish brown,246,141,75
27,339,clay brown,158,88,52
28,348,khaki,225,182,77
29,399,wark gray,208,201,185
30,405,blue,56,108,192
31,406,ultra marine,27,50,126
32,415,peacock blue,33,62,66
33,420,electric blue,57,100,169
34,502,mint green,133,187,125
35,507,emerald green,48,104,59
36,509,leaf green,88,170,104
37,513,lime green,170,220,71
38,515,moss green,107,135,48
39,517,dark olive,62,55,37
40,519,olive green,79,83,69
41,534,teal green,58,93,86
42,542,seacrest,157,187,187
43,607,wisteria violet,91,89,154
44,612,lilac,138,108,160
45,613,violet,102,65,117
46,614,purple,92,58,119
47,620,magenta,128,78,137
48,704,pewter,132,125,143
49,707,dark gray,43,42,48
50,800,reddish brown,242,27,33
51,804,lavender,145,141,176
52,807,carmine,178,31,73
53,808,deep green,52,96,79
54,810,light lilac,229,155,218
55,812,cream yellow,243,209,122
56,817,gray,123,121,135
57,869,royal purple,138,49,95
58,900,black,31,30,35
59,901,flesh,249,228,223
60,902,ivory,244,239,220